ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,SQMSerial,CloudCover,Constellation,SkyComment,LocationComment,Country
114115,GAN,18,23.2052,85.9164,234.64,2014-01-20,22:15,2014-01-20,16:45,3,,,"clear","Orion","","","India"
114116,GAN,32,36.5205,22.9825,0,2014-01-20,23:00,2014-01-20,21:00,5,,,"clear","Orion","","","Greece"
114117,GAN,42,53.8817,14.5452,-1.1,2014-09-15,23:24,2014-09-15,21:24,6,,,"clear","Cygnus","","","Poland"
114118,GAN,43,48.9169,17.09,192.27,2014-01-21,19:55,2014-01-21,18:55,5,,,"1/4 of sky","Orion","Hello :) Thomas.H","","Czech Republic"
114119,GAN,51,30.4717,-90.9687,12.78,2014-01-20,20:20,2014-01-21,02:20,4,,,"clear","Orion","Perfect Louisiana night no clouds, cool, beautiful. I took several 30"" long exposure photographs of the sky, producing 3 'magic hour' type deep blue with stars images. Very clear results on all digital images of light sources in sky, 3 particularly clear, crisp, deep blue to black images. Gorgeous! Only wish there were fewer artificial lights so that the night sky would have been even more dramatic.  Would love to send in photos but not sure how or where to do that really amazing night out tonight. Just discovered this site tonight for first time. LOVE IT! Thank you for what you are doing :-)","Several street lights in immediate area with no cowling around light. Much 'light spray'  Roughly a dozen porch lights on, various other outdoor lights.","United States - Louisiana"
114120,GAN,52,30.4729,-90.9699,12.88,2014-01-20,18:41,2014-01-21,00:41,3,,,"clear","Orion","PERFECT!  Submission attempt keeps sending pop up that says ""day must be between 20 - 29 but actual observation was Saturday, January 11, 2014 in 70726 area code. Grrrrr.    had to put in 1/20/14 for submission to go forward.  *** Wrong date***","Near Amite River in Denham Springs, La. Many trees everywhere, almost a dozen street lights, and even more porch lights, various other outdoor lights. Tried to submit just a minute ago observation was actually on Saturday, Jan. 11, 2014 at 8:20pm but pop up wouldn't let info go through.","United States - Louisiana"
114121,GAN,80,32.2334,-110.947,746.66,2014-01-25,19:19,2014-01-26,02:19,6,,,"clear","Orion","","","United States - Arizona"
114133,GAN,99,37.9498,-122.533,8.35,2014-12-15,21:30,2014-12-16,05:30,5,,,"clear","Perseus","Clear night with the moon out.","There is a school close by that has all of it's outdoor light all night and my streets have lights the lights on all night also.","United States - California"
114134,GAN,112,23.1292,113.264,17.67,2014-01-20,21:06,2014-01-20,13:06,2,,,"clear","Orion","","","China"
114135,GAN,116,36.9073,-76.1498,2.75,2014-01-21,21:22,2014-01-22,02:22,3,,,"clear","Orion","Clear","Lots of trees and houses.  4 street lights.","United States - Virginia"
114136,GAN,117,53.4573,-2.34009,27.67,2014-01-20,23:59,2014-01-20,23:59,3,,,"1/4 of sky","Orion","","","United Kingdom"
114137,GAN,120,35.7374,139.978,25.38,2014-01-20,19:28,2014-01-20,10:28,2,,,"1/4 of sky","Orion","","","Japan"
114138,GAN,122,35.4437,139.638,12.88,2014-01-20,00:00,2014-01-19,15:00,4,,,"clear","Orion","","","Japan"
114139,GAN,123,34.75,137.727,49.13,2014-01-20,21:24,2014-01-20,12:24,3,,,"1/4 of sky","Orion","","","Japan"
114140,GAN,124,35.4527,139.567,68.9,2014-01-20,22:13,2014-01-20,13:13,3,,,"clear","Orion","","","Japan"
114141,GAN,125,41.9304,25.5484,193.19,2014-01-20,20:30,2014-01-20,18:30,3,,,"1/2 of sky","Orion","","","Bulgaria"
114142,GAN,127,12.9552,77.7228,879.9,2014-01-20,20:41,2014-01-20,15:11,3,,,"1/4 of sky","Orion","All around mild haze, sky glow mostly to west (city side)","Suburban area without too much street lighting. Orion was in eastern part of the sky which is away from the city","India"
114143,GAN,128,23.2052,85.9164,234.64,2014-01-20,21:40,2014-01-20,16:10,6,,,"clear","Orion","","Village - Tunturi  Ps - Baghmundi  Dist - Purulia  State - West Bengal  Pin - 723212  India","India"
